50000,50000,50000,47493,50000,50000,50000,
737,17340,9181,48303,37441,27482,50000,
4114,19423,7002,45147,38543,50000,50000,
50000,50000,9613,50000,50000,28101,16626,
50000,50000,50000,50000,37670,50000,50000,
50000,50000,50000,47426,50000,27522,50000,
188,50000,50000,50000,50000,50000,19020,
435,19743,50000,45633,38490,27126,50000,
55,17137,50000,47577,37570,50000,50000,
50000,50000,50000,47513,50000,50000,50000,
50000,50000,9344,50000,38784,50000,50000,
50000,50000,9575,47517,40092,50000,50000,
50000,50000,9989,47486,50000,50000,16732,
50000,50000,9562,50000,37424,50000,50000,
727,50000,8887,50000,50000,27456,50000,
50000,50000,9650,47497,50000,50000,17462,
50000,50000,50000,47587,50000,50000,50000,
50000,50000,9449,48358,50000,26005,50000,
50000,50000,9314,50000,50000,50000,18023,
50000,50000,50000,47756,50000,27568,50000,
674,50000,50000,47510,50000,50000,19191,
50000,50000,7749,50000,50000,26510,50000,
150,50000,50000,50000,37511,50000,17349,
66,50000,9800,50000,37606,27917,17419,
50000,50000,50000,50000,50000,27536,17433,
3,18734,50000,50000,37515,27306,50000,
22,19388,50000,50000,50000,50000,16902,
3820,19658,50000,47621,50000,27520,50000,
50000,50000,9599,50000,50000,50000,50000,
141,19917,9635,50000,50000,50000,17172,
50000,19214,50000,50000,36442,50000,17620,
245,50000,50000,47513,50000,50000,50000,
50000,50000,50000,50000,50000,50000,50000,
50000,50000,9643,50000,50000,50000,17527,
139,50000,50000,50000,38087,50000,16993,
50000,50000,50000,50000,50000,27446,50000,
50000,50000,50000,50000,36271,50000,50000,
858,50000,9769,47493,37260,50000,50000,
50000,19585,9862,46981,36946,50000,50000,
50000,50000,50000,47655,50000,50000,17455,
945,50000,9799,50000,50000,50000,50000,
694,50000,9472,46768,50000,50000,50000,
50000,18918,50000,50000,37792,27232,50000,
244,19725,50000,50000,50000,27299,50000,
1933,50000,50000,50000,38690,50000,50000,
50000,50000,7042,50000,37197,50000,50000,
50000,50000,50000,48616,50000,50000,18182,
50000,50000,9632,48463,37387,50000,50000,
50000,17761,9878,46607,50000,27387,50000,
50000,50000,50000,50000,35336,27364,50000,
50000,19664,8815,47486,50000,27968,17772,
1647,50000,50000,50000,50000,50000,50000,
50000,19552,50000,49347,37537,27406,50000,
59,50000,50000,47671,50000,27517,17719,
66,50000,9510,47600,50000,50000,50000,
50000,50000,50000,50000,37518,50000,17519,
340,50000,50000,46573,37004,50000,20146,
63,19679,50000,47520,37439,27357,50000,
62,18392,8696,47918,50000,29222,50000,
50000,50000,50000,50000,50000,29192,17544,
8,50000,50000,49225,37525,50000,17539,
