70,19669,9662,50000,50000,50000,50000,44673,
53,19666,9660,50000,50000,50000,50000,44554,
16,19666,9666,50000,50000,50000,50000,44799,
63,19665,9636,50000,50000,50000,50000,44797,
78,19669,50000,50000,50000,50000,50000,44796,
75,19663,9671,50000,50000,50000,50000,44798,
62,19665,9677,50000,50000,50000,50000,44768,
15,19732,9665,50000,50000,50000,50000,44801,
63,19663,9669,50000,50000,50000,50000,44787,
64,19666,9669,50000,50000,50000,50000,44795,
63,19672,9666,50000,50000,50000,50000,44799,
63,19640,9668,50000,50000,50000,50000,44839,
65,19665,9666,50000,50000,50000,50000,44819,
70,19666,9662,50000,50000,50000,50000,44798,
65,19666,9665,50000,50000,50000,50000,44798,
57,19666,9676,50000,50000,50000,50000,44786,
162,19739,9666,50000,50000,50000,50000,44797,
63,19665,50000,50000,50000,50000,50000,44802,
72,19666,9666,50000,50000,50000,50000,44763,
63,19662,9678,50000,50000,50000,50000,44789,
56,19669,9665,50000,50000,50000,50000,44801,
71,19668,9667,50000,50000,50000,50000,44771,
69,19680,9663,50000,50000,50000,50000,44798,
66,19668,9666,50000,50000,50000,50000,44797,
63,19664,9666,50000,50000,50000,50000,50000,
65,19750,9662,50000,50000,50000,50000,50000,
54,19667,9652,50000,50000,50000,50000,44797,
61,19670,9666,50000,50000,50000,50000,44798,
64,19667,9680,50000,50000,50000,50000,44798,
60,19669,9666,50000,50000,50000,50000,44800,
63,19665,9666,50000,50000,50000,50000,44800,
69,19660,9666,50000,50000,50000,50000,44755,
64,50000,9665,50000,50000,50000,50000,44816,
73,19669,9660,50000,50000,50000,50000,44806,
63,19666,9666,50000,50000,50000,50000,44797,
66,19665,9675,50000,50000,50000,50000,45022,
57,19642,9671,50000,50000,50000,50000,44818,
64,19665,9654,50000,50000,50000,50000,44798,
64,19656,9666,50000,50000,50000,50000,44798,
65,19666,9667,50000,50000,50000,50000,44799,
75,19666,9669,50000,50000,50000,50000,44798,
196,19667,9662,50000,50000,50000,50000,44799,
34,19665,9635,50000,50000,50000,50000,44799,
65,19680,9539,50000,50000,50000,50000,44774,
59,19667,9665,50000,50000,50000,50000,44805,
63,19667,9672,50000,50000,50000,50000,44796,
58,19680,9642,50000,50000,50000,50000,44796,
62,19655,9673,50000,50000,50000,50000,44803,
66,19667,9666,50000,50000,50000,50000,44796,
63,50000,9634,50000,50000,50000,50000,44796,
83,19664,9660,50000,50000,50000,50000,44769,
62,19724,9666,50000,50000,50000,50000,44809,
65,19666,9664,50000,50000,50000,50000,44796,
63,19664,9668,50000,50000,50000,50000,44977,
64,19671,9666,50000,50000,50000,50000,44798,
52,19667,9680,50000,50000,50000,50000,44804,
63,19668,9659,50000,50000,50000,50000,44816,
64,19668,9650,50000,50000,50000,50000,44792,
50000,19667,9665,50000,50000,50000,50000,44792,
61,19666,9705,50000,50000,50000,50000,44803,
59,50000,9671,50000,50000,50000,50000,44801,
56,19666,9665,50000,50000,50000,50000,44796,
59,19667,9692,50000,50000,50000,50000,44799,
92,19666,9739,50000,50000,50000,50000,44798,
140,19666,9666,50000,50000,50000,50000,44745,
68,19663,9644,50000,50000,50000,50000,44792,
64,19666,9667,50000,50000,50000,50000,44808,
63,19663,50000,50000,50000,50000,50000,44830,
63,19666,9667,50000,50000,50000,50000,44798,
85,19668,9669,50000,50000,50000,50000,44797,
63,19666,9665,50000,50000,50000,50000,44791,
60,19665,9668,50000,50000,50000,50000,44842,
60,19666,9667,50000,50000,50000,50000,44778,
34,19666,9665,50000,50000,50000,50000,44799,
65,19663,9668,50000,50000,50000,50000,44798,
44,50000,9666,50000,50000,50000,50000,44800,
63,19666,9630,50000,50000,50000,50000,44803,
61,19665,9666,50000,50000,50000,50000,44802,
63,19665,9677,50000,50000,50000,50000,44798,
75,19666,9665,50000,50000,50000,50000,44693,
36,19666,9681,50000,50000,50000,50000,44805,
78,19666,9667,50000,50000,50000,50000,44798,
63,19674,9667,50000,50000,50000,50000,44796,
67,19666,9685,50000,50000,50000,50000,44794,
63,19705,9671,50000,50000,50000,50000,50000,
73,19695,9667,50000,50000,50000,50000,44801,
68,19661,9668,50000,50000,50000,50000,44789,
62,19666,9666,50000,50000,50000,50000,44675,
64,19668,9662,50000,50000,50000,50000,44798,
63,19671,9664,50000,50000,50000,50000,44797,
30,19670,9660,50000,50000,50000,50000,44797,
63,19666,9651,50000,50000,50000,50000,44819,
63,19666,9634,50000,50000,50000,50000,44798,
53,19666,9668,50000,50000,50000,50000,44814,
64,19669,9675,50000,50000,50000,50000,44798,
63,19655,9665,50000,50000,50000,50000,44799,
67,19641,9651,50000,50000,50000,50000,44791,
44,19665,9561,50000,50000,50000,50000,44799,
63,19572,9664,50000,50000,50000,50000,44807,
58,19667,9666,50000,50000,50000,50000,44803,
63,19666,9667,50000,50000,50000,50000,44798,
65,50000,9671,50000,50000,50000,50000,44797,
63,19665,9666,50000,50000,50000,50000,50000,
